0,1,2,3,4,5,6,7,8,9
-1.391149,-1.5960515,0.80361205,1.8665315,1.8345875,-1.8207215,1.3556418,-0.93611825,0.9500485,1.4590058
-1.3322903,-1.5662102,0.83178294,2.150118,1.6691533,-1.6187559,1.2563359,-0.7196674,0.984831,1.4221371
-1.2784971,-1.4999224,0.98918945,2.2313764,1.5178535,-1.4417962,1.1505313,-0.54611933,1.3845513,1.4186864
-1.2088273,-1.4380486,1.4203095,2.439927,1.7157204,-1.0879232,1.5275061,-0.37865946,1.8100728,1.7136965
-1.1115392,-1.3698249,1.4075855,2.604651,1.6607969,-1.0085783,2.2315142,-0.18973957,1.8258251,1.7051013
-1.0184575,-1.3094251,1.3405144,2.5700042,1.3894398,-1.0234984,2.1424682,-0.044250157,1.8119233,1.6646687
-0.935998,-1.2637284,0.9272509,2.2227728,0.9410064,-1.121703,1.9159144,-0.2125797,1.3547252,1.3447016
-0.8765463,-1.2195673,0.88673675,1.8928735,0.8437155,-1.1934291,1.3394619,-0.08966996,0.9695991,1.3526565
-0.815803,-1.175067,1.1658119,1.5213667,0.66955614,-1.144041,1.3918767,-0.20413093,1.334386,1.2504097
-0.7417827,-1.1226635,1.1914124,1.273132,0.71350974,-1.1458181,1.7180407,-0.08863351,1.6340741,1.3743296
-0.7194476,-1.0798278,1.2429606,0.98983735,0.57359105,-1.0809095,0.48395926,-0.20819473,1.9487162,1.1905414
-0.6998348,-1.0404875,1.0412384,0.77281487,0.5563272,-1.2801771,0.42142367,-0.092908405,1.5808653,1.2481962
-0.6823699,-1.0047061,1.1832838,0.55210346,0.45653126,-1.1593883,0.3742302,-0.22215424,1.917314,1.1797795
-0.6840831,-0.9703442,1.4405867,0.3909036,0.44388554,-1.1906089,-0.038470093,-0.11999806,1.5557163,0.7061089
-0.6937793,-0.9255565,0.88261896,0.3071844,0.49104413,-1.6179376,-0.20532204,0.01861019,1.4197097,0.19716853
-0.70770437,-0.8848492,0.56425285,0.15893504,0.33950102,-1.7839235,-0.2964375,-0.07268531,1.0073391,-0.36204728
-0.6973144,-0.837148,0.73919535,0.13928124,0.5157743,-1.8157986,0.20454997,0.026273537,0.92743886,-0.32496065
-0.68164533,-0.7985717,0.36819547,0.16478384,0.62250453,-1.9203982,0.31201416,0.1411041,0.8671918,-0.3667125
-0.66041553,-0.7564402,-0.0701377,0.1518731,0.6265817,-2.0542824,0.43062216,0.23083521,0.39036328,-0.33030382
-0.642904,-0.70928824,0.022649296,0.14088784,0.94704527,-2.0949535,0.3483882,0.37773573,-0.17570114,-0.15952124
-0.62973404,-0.690991,0.40583515,0.0013182752,0.4634944,-2.0836644,0.2563584,0.22773653,-0.13914947,-0.6793286
-0.61070603,-0.6710912,0.65303975,-0.008743903,0.97293127,-1.9799117,0.37982956,0.36269262,0.36578697,-0.46860164
-0.58573747,-0.6492595,1.0322431,0.00850325,1.2670624,-1.8563696,0.5078715,0.5041998,0.42714217,-0.093185075
-0.56466466,-0.6392702,0.7661335,-0.027398612,0.99666065,-1.8869098,0.42288095,0.39734048,0.012954486,-0.17658153
-0.5533793,-0.6383698,0.68356055,-0.13473102,0.59755397,-1.9293687,0.21181998,0.28591523,-0.41788054,-0.45128673
-0.54690653,-0.64210296,0.092631966,-0.3395071,-0.098398544,-1.9498639,0.11000933,0.1534971,-0.44372717,-1.053265
-0.5473341,-0.63688993,0.24568938,-0.4523728,0.004638455,-1.9380671,-0.037808593,0.27797452,-0.91925985,-0.9356973
-0.5256998,-0.61772656,0.8770963,-0.17615822,1.7030928,-1.681216,0.4249768,0.44450465,-0.39102298,0.6795591
-0.4952,-0.59121406,0.9487254,0.09803134,1.7870152,-1.5877178,0.61041117,0.6130699,-0.30921242,0.93674093
-0.46357438,-0.5660592,1.1942921,0.28604615,1.5732954,-1.4648594,0.6317185,0.77350706,0.1433214,1.0385886
-0.41468376,-0.5343233,1.1979823,0.4797466,1.5984688,-1.4110906,1.0006471,0.8927548,0.19392326,1.3090528
-0.3633429,-0.49835637,1.2606336,0.6859711,1.6037551,-1.347303,1.0387938,1.0907698,0.34100896,1.4267608
-0.3073838,-0.45699754,1.3477715,0.8581228,1.5245057,-1.2606417,1.1258612,1.2197374,0.69297385,1.5797225
-0.25703725,-0.42050853,1.0520558,0.80099,1.119004,-1.2114455,1.0096846,1.0463848,0.62602186,1.3541919
-0.19461325,-0.3828749,1.4191747,0.78235865,1.1314626,-1.0532967,1.2614934,1.1991106,1.0935175,1.5008029
-0.09074322,-0.32655346,1.5888323,1.0921192,1.5640253,-0.74901175,2.12183,1.4521264,1.2215148,1.7623647
-0.007993518,-0.28459448,0.99364287,0.953672,0.9677991,-0.71406424,1.6701859,1.2214707,0.63373905,1.3560051
0.035667587,-0.25132164,0.7590065,0.64093184,0.6355163,-0.647265,0.83531135,0.9860211,0.4008078,1.1606237
0.060459398,-0.223157,0.653677,0.2527013,0.36885533,-0.43696016,0.45603165,0.72114766,0.15629502,0.9952459
0.08913755,-0.19242665,0.9425493,0.047702856,0.47062168,-0.277717,0.5291885,0.8693725,0.49394462,1.1233199
0.10927075,-0.15718849,0.92838866,-0.11566901,0.42676166,-0.22164617,0.3565085,0.969932,0.772168,0.7516846
0.12372605,-0.12357489,0.6855279,-0.18728651,0.4833317,-0.4002087,0.24134894,1.084804,0.73511016,0.49115855
0.13511035,-0.08913847,0.63702464,-0.19314034,0.54273385,-0.4645997,0.17872237,1.2208273,0.7141544,0.46586847
0.16633579,-0.047455397,0.74302286,-0.06920766,0.7475263,-0.40546295,0.56005514,1.3299037,0.6753789,0.64623576
0.19600601,-0.00033403904,0.69907004,0.04444534,0.79950434,-0.37503168,0.52250594,1.4399129,0.67480195,0.6921984
0.19454065,0.052309122,0.5710557,0.087188736,0.79254246,-0.46187508,-0.071360715,1.526295,0.5711549,0.6253518
0.21833955,0.1069929,0.52754366,0.14054276,0.9540396,-0.4774076,0.40033248,1.6076864,0.5283033,0.84737444
0.2676848,0.1545474,0.89740425,0.30219594,1.2306448,-0.3585311,0.88440275,1.7256864,0.9659292,1.1830125
0.32343915,0.19564538,0.7226595,0.30289248,1.0082035,-0.33789584,1.0123976,1.5261538,0.9914769,0.9599124
0.3764663,0.23737128,0.29562125,0.30478206,1.0323629,-0.6136284,0.94647884,1.6226938,0.48324257,1.0911992
0.42033407,0.27005512,0.68122697,0.14092156,0.6993512,-0.6944327,0.7716104,1.5012755,0.695178,0.8787963
0.4579656,0.29667488,1.1305815,-0.023583533,0.59888595,-0.662292,0.65009195,1.3466878,0.85471684,0.864311
0.49114653,0.3194869,1.6313996,-0.15365489,0.5644092,-0.77432364,0.5632708,1.4241053,1.5816871,0.70914906
0.5111739,0.3458974,1.5363808,-0.2750334,0.49816203,-0.78059804,0.3170787,1.5411954,1.5592246,0.5943231
0.54338455,0.37773323,1.6828518,-0.1544658,0.945204,-0.6222236,0.5346341,1.6717175,1.5904951,1.0488575
0.5773881,0.39444858,1.6550202,-0.07588079,0.90105706,-0.60431623,0.5664601,1.7754716,1.5932593,1.1062752
0.6081876,0.42259133,1.6167281,-0.032454807,0.84340835,-0.6019126,0.5044923,1.8531551,1.5552046,0.8843159
0.63810235,0.4634605,1.6074343,0.120454215,1.0429778,-0.57297254,0.4784062,1.9491328,1.5511099,0.95805526
0.6691688,0.5082013,1.4521695,0.13842492,0.8912158,-0.6080808,0.49949324,1.8433073,1.5188731,0.8661106
0.6856785,0.5440801,0.9720124,-0.022967549,0.5722959,-0.60080177,0.24012008,1.7359744,1.1438065,0.16229977
0.7053518,0.57682925,0.6548608,-0.23490897,0.3823784,-0.6528796,0.29708531,1.6290338,0.77741766,-0.07381679
0.72675014,0.6072198,0.35926077,-0.38978663,0.37790772,-0.7030598,0.32530904,1.7238228,0.75341207,-0.019872462
0.7274108,0.6246842,-0.2603703,-0.75514495,-0.37086064,-0.86251223,-0.04549016,1.4806001,-0.05661727,-0.74490815
0.77518964,0.65942574,0.5364761,-0.40234756,1.2706513,-0.27931657,0.7841807,1.7864448,0.6494003,0.72914916
0.7975759,0.68742317,0.57199067,-0.29099938,0.8830577,-0.1838478,0.322211,1.612069,0.5141754,0.56452054
0.8288881,0.72088414,0.7256235,-0.09595364,1.1453632,-0.09796484,0.47323486,1.6980051,0.92082804,0.70357245
0.84111744,0.74295676,0.31871998,-0.21217768,0.49939615,-0.23992845,0.14375618,1.5233825,0.4760713,0.2076517
0.81198776,0.74350786,-0.19082826,-0.6577023,-0.5315017,-0.35758972,-0.5573264,1.32179,-0.035288643,-0.55307966
0.7847738,0.74566865,-0.46208274,-0.94496685,-0.5574336,-0.41864982,-0.52205795,1.4386134,-0.45052773,-0.6360602
0.75633895,0.73971677,-0.6770194,-1.251016,-0.9653195,-0.51219004,-0.54455703,1.2591115,-0.8774515,-0.47990566
0.7194927,0.73109376,-0.9025709,-1.5860116,-1.4489137,-0.64098394,-0.6945019,1.0524347,-1.2621603,-0.23299061
0.6259186,0.69436264,-1.6416087,-2.4410741,-2.5550046,-0.8857737,-1.7036303,0.7705698,-1.6946917,-0.18332861
0.56646436,0.66425174,-1.3862883,-2.6795819,-1.8506721,-0.8220881,-1.1262589,0.942661,-1.5336697,0.032290854
0.4709193,0.63988334,-1.1451837,-2.560857,-1.4450579,-0.7739799,-1.7189047,1.064447,-1.2330834,0.2003863
0.37863684,0.6039703,-1.131556,-2.408433,-1.3751377,-0.74703,-1.6719328,0.8993558,-0.89475137,0.14580159
0.26910207,0.56376094,-1.1871455,-2.253399,-1.3291638,-0.8353616,-1.9448804,0.73687863,-1.1979498,0.07428444
0.14728092,0.5074195,-1.2518613,-2.3810563,-1.6145823,-0.9986621,-2.1748118,0.54785055,-1.1400408,-0.12766847
0.07029014,0.45282605,-1.7344711,-2.1173966,-1.1928389,-1.4708996,-1.4168625,0.680259,-1.4897084,0.10607993
-0.025146268,0.38984597,-1.7866342,-2.05172,-1.3386374,-1.6609713,-1.7377461,0.5341869,-1.4513507,-0.18045674
-0.12481002,0.3241424,-2.06454,-2.063027,-1.3919858,-1.9302454,-1.8200473,0.3562198,-1.7660549,-0.22578196
-0.21392694,0.2595633,-1.9873596,-1.9759834,-1.2848104,-1.7704738,-1.6439456,0.24076009,-1.4265137,-0.3007064
-0.2505321,0.19277832,-1.8463296,-1.832272,-1.2004092,-1.7231367,-0.7325424,0.10508007,-1.357489,-0.41363063
-0.3054207,0.13412663,-1.8519251,-1.6637161,-1.1336095,-1.8350711,-1.0654085,-0.03230774,-1.3443742,-0.37082905
-0.36658064,0.05366881,-1.6817636,-1.3857404,-0.9957325,-1.7634768,-1.1675802,0.06840872,-0.9993281,-0.36718422
-0.43903363,-0.030992763,-1.679871,-1.2853318,-1.1116396,-1.7501043,-1.3797822,-0.0627781,-0.90883905,-0.88571125
-0.514468,-0.1261408,-1.300661,-1.2146052,-1.1643243,-1.5921364,-1.4395589,-0.25803638,-0.8057601,-0.32366368
-0.52990055,-0.19679923,-0.94092435,-0.7071469,-0.66695684,-1.4954151,-0.33122328,-0.11011968,-0.8717702,0.42421967
-0.5480763,-0.24584477,-0.87588376,-0.14520924,-0.37341455,-1.4063188,-0.37798056,0.032049857,-0.8498922,0.7678097
-0.5344864,-0.28799146,-0.5950916,0.4095795,-0.042526215,-1.3528485,0.2278565,0.13933648,-0.9503326,1.1523465
-0.48179656,-0.31211764,-0.17965792,1.0538596,0.60936797,-1.1132739,1.0010915,0.28565377,-0.4616927,1.6987411
-0.41416326,-0.3230721,0.406745,1.5708923,1.0084035,-0.74151677,1.2977749,0.4094878,0.040240087,1.7268023
-0.3323984,-0.29976124,0.33968785,1.9597036,1.1105909,-0.78150564,1.5764959,0.53558314,0.039501034,1.8989595
-0.24984352,-0.2854165,0.6464108,2.0846655,0.9442894,-0.6809411,1.5928283,0.44451642,0.12714295,1.8185486
-0.1722144,-0.2768347,1.0014948,2.0688226,0.8870686,-0.4631589,1.4825152,0.33778176,0.6158419,1.7467065
-0.08601429,-0.26966873,0.907272,1.890584,0.7028939,-0.5593204,1.6713988,0.24507125,0.26934838,1.5966381
0.014081521,-0.2569385,1.0439547,1.7557476,0.7597914,-0.50932914,1.951223,0.31317437,0.6443477,1.6999254
0.10511671,-0.21810395,1.2985178,1.8306177,1.0273312,-0.2681516,1.698472,0.43687463,1.10994,1.9071702
0.17883965,-0.18961935,1.1929674,1.7529995,0.853069,-0.24879234,1.3430208,0.33144388,1.1117935,1.8517175
0.24681444,-0.14776383,1.6257329,1.696391,0.85116965,-0.09250308,1.2154533,0.4303523,1.525469,1.9591562
0.28714535,-0.0999906,1.7589874,1.5325874,0.68976665,-0.11054865,0.6896535,0.19640782,1.3390896,1.7194939
0.3143923,-0.051211603,1.5786356,1.3330306,0.5846305,-0.27573285,0.4501547,0.104712866,0.9593741,1.3171581
0.31599215,-0.008324483,0.98282474,0.9709431,0.28329426,-0.43217066,-0.0029626722,-0.0011779092,0.5312815,0.79528856
0.34091657,0.04701853,1.0491799,0.9046726,0.5507878,-0.30970275,0.40590364,0.12016263,0.5610868,1.0557109
0.36548382,0.099662066,0.7678688,0.79794234,0.47414944,-0.48358753,0.40003893,0.014380633,0.49841234,0.2632955
0.38782927,0.1555825,0.29375514,0.5764983,0.2623741,-0.68562186,0.36444423,-0.14166252,-0.04958169,-0.18898922
0.42198053,0.22474171,0.4060478,0.58201754,0.640734,-0.54689324,0.56948984,-0.013134991,-0.045761865,0.54495347
0.43952817,0.2806664,0.57818925,0.5978587,0.7772734,-0.5161913,0.26929176,0.06470021,0.27976364,0.7697855
0.46789226,0.33324403,0.68824816,0.64440995,1.0025483,-0.535202,0.45694256,0.1156593,0.19569685,1.0914166
0.48750517,0.37834316,0.86550343,0.60705477,0.9629039,-0.46615946,0.3031983,0.025703115,0.54512763,0.73991543
0.48990735,0.40033457,0.21269628,0.3047932,0.13611905,-0.6471541,0.009287902,-0.10392744,0.12658142,-1.1161575
0.49919268,0.4191413,-0.07167862,0.14039852,0.32240433,-0.8295078,0.12798424,-0.0064139133,0.07420913,-0.8001137
0.5326804,0.43723437,0.17463551,0.1118232,0.6456391,-0.77698654,0.55465376,0.07823858,0.047020126,-0.22628053
