0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1.3322904,-1.5662096,0.83178824,2.150114,1.6691515,-1.6187644,1.2563258,-0.7196674,0.9848309,1.4221337,0.34940717,2.1474376,1.9486483,0.0,0.0
-1.2784969,-1.4999219,0.9891879,2.2313745,1.5178567,-1.4418046,1.150541,-0.54611933,1.3845513,1.4186885,0.012257643,1.3145564,0.46618196,0.0,0.0
-1.2088269,-1.438048,1.4203104,2.4399285,1.7157254,-1.0879292,1.5275102,-0.37865946,1.8100728,1.7137018,1.4042896,2.2372212,0.32477403,0.0,0.0
-1.111539,-1.3698242,1.4075867,2.6046526,1.6607982,-1.0085835,2.2315133,-0.18973957,1.8258251,1.7051032,0.8338977,2.9005668,0.31788918,0.0,0.0
-1.0184574,-1.3094245,1.340513,2.570004,1.3894384,-1.0235035,2.1424658,-0.044250157,1.8119233,1.6646675,-0.017068176,1.2230318,0.30260217,0.0,0.0
-0.9359978,-1.2637278,0.9272583,2.222774,0.9410085,-1.1217045,1.915917,-0.2125797,1.3547252,1.3447047,-0.9876967,0.5795652,0.39502954,0.0,0.0
-0.87654626,-1.2195667,0.88673836,1.8928729,0.8437136,-1.1934351,1.3394593,-0.08966996,0.96959907,1.352655,0.03293016,0.59041685,0.39545408,0.0,0.0
-0.8158027,-1.1750665,1.1658174,1.5213667,0.6695568,-1.1440452,1.3918829,-0.20413093,1.334386,1.2504113,-0.32659292,-0.21577375,0.37515226,0.0,0.0
-0.7417826,-1.1226631,1.1914178,1.2731316,0.71350896,-1.1458217,1.718036,-0.08863351,1.6340741,1.3743297,0.41123378,-0.41185585,0.294966,0.0,0.0
-0.7194476,-1.0798277,1.2429585,0.98983306,0.5735849,-1.0809124,0.48395658,-0.20819473,1.9487162,1.1905351,-0.2369922,-0.51103,0.27946144,0.0,0.0
-0.699835,-1.0404876,1.0412356,0.77280843,0.5563217,-1.2801762,0.42142096,-0.092908405,1.5808653,1.24819,0.16781524,0.022250723,0.27266744,0.0,0.0
-0.6823705,-1.0047064,1.1832864,0.55209506,0.45652464,-1.1593837,0.37422106,-0.22215424,1.917314,1.1797715,-0.13187462,-0.053283136,0.28276005,0.0,0.0
-0.684084,-0.9703444,1.440581,0.39089805,0.443885,-1.190602,-0.03847615,-0.11999806,1.5557163,0.7061066,0.14577986,0.1677031,0.28463382,0.0,0.0
-0.69378006,-0.92555666,0.8826233,0.30718455,0.4910496,-1.6179279,-0.20531908,0.01861019,1.4197098,0.19717787,0.32328555,0.12588282,0.14431605,0.0,0.0
-0.7077051,-0.8848494,0.5642495,0.15893608,0.3395015,-1.7839177,-0.2964361,-0.07268531,1.0073392,-0.36204788,-0.30581778,0.094676636,0.17072958,0.0,0.0
-0.69731534,-0.8371484,0.7391837,0.13928106,0.5157714,-1.8157945,0.20454389,0.026273537,0.92743886,-0.32496986,0.5667779,0.2816501,0.14026248,0.0,0.0
-0.68164635,-0.7985722,0.36818138,0.16478388,0.62250364,-1.9203919,0.31201443,0.1411041,0.8671918,-0.3667179,0.3647864,0.5185329,-0.0003729021,0.0,0.0
-0.6604165,-0.7564406,-0.070140734,0.15187514,0.6265861,-2.0542734,0.43062243,0.23083521,0.39036325,-0.33029953,0.01858918,0.457654,-0.037234046,0.0,0.0
-0.64290524,-0.7092888,0.02263997,0.14088744,0.94703454,-2.0949447,0.3483837,0.37773573,-0.17570116,-0.15953633,0.15404095,0.37754273,-0.088698246,0.0,0.0
-0.62973505,-0.6909915,0.4058182,0.0013181823,0.46349254,-2.0836546,0.25636348,0.22773653,-0.13914946,-0.67933416,-0.5207646,0.27546826,-1.1040093,0.0,0.0
-0.6107066,-0.6710916,0.6530335,-0.008741876,0.9729398,-1.9799,0.37983787,0.36269262,0.365787,-0.46859664,0.5401351,0.26276898,-1.0808113,0.0,0.0
-0.5857376,-0.64925987,1.0322247,0.008507457,1.2670727,-1.8563596,0.50788313,0.5041998,0.42714223,-0.093176715,0.24945197,0.20770569,-1.0727749,0.0,0.0
-0.5646644,-0.63927054,0.76612985,-0.027391387,0.99667794,-1.8869007,0.42288908,0.39734048,0.012954487,-0.17656441,-0.10719461,0.1481269,-1.3264065,0.0,0.0
-0.55337954,-0.63837034,0.68354034,-0.13472973,0.597531,-1.9293627,0.21180893,0.28591523,-0.4178805,-0.45130503,-0.31120375,-0.071040414,-1.415233,0.0,0.0
-0.546907,-0.64210355,0.092627905,-0.33950868,-0.09841183,-1.949858,0.11000462,0.1534971,-0.44372714,-1.0532792,-0.61310536,-0.114669725,-1.3412057,0.0,0.0
-0.5473344,-0.6368906,0.24569646,-0.45237237,0.004647863,-1.9380621,-0.037803892,0.27797452,-0.9192598,-0.9356935,0.11413258,-0.31226182,-1.5098479,0.0,0.0
-0.5257001,-0.6177272,0.87708324,-0.17615831,1.7030832,-1.6812148,0.42497706,0.44450465,-0.39102292,0.67955506,1.7870163,0.40240702,-1.0356803,0.0,0.0
-0.49520043,-0.5912148,0.9487074,0.09803099,1.7870071,-1.5877166,0.6104083,0.6130699,-0.3092124,0.936738,0.5711371,0.72793216,-1.0336467,0.0,0.0
-0.46357435,-0.56605977,1.1942862,0.2860494,1.5732992,-1.4648553,0.63172835,0.77350706,0.14332144,1.0385966,0.21756981,0.98454225,-1.0394435,0.0,0.0
-0.41468364,-0.53432375,1.1979754,0.4797492,1.5984641,-1.4110887,1.0006492,0.8927548,0.19392332,1.309053,0.56189835,1.5591627,-1.0371581,0.0,0.0
-0.36334282,-0.49835664,1.2606266,0.68597406,1.6037538,-1.3473024,1.0387942,1.0907698,0.34100902,1.4267629,0.6556881,1.8180691,-1.0068036,0.0,0.0
-0.30738387,-0.45699763,1.3477619,0.85812503,1.5245036,-1.2606423,1.1258584,1.2197374,0.6929739,1.5797226,0.5078119,1.1940552,-1.0104684,0.0,0.0
-0.25703767,-0.42050862,1.0520488,0.8009905,1.1190009,-1.2114452,1.0096772,1.0463848,0.6260219,1.35419,-0.43464145,0.7076643,-0.95717734,0.0,0.0
-0.1946133,-0.38287506,1.4191607,0.7823601,1.131463,-1.0532978,1.2615024,1.1991106,1.0935177,1.5008048,0.42757604,0.8082295,-0.95220053,0.0,0.0
-0.09074326,-0.32655373,1.5888163,1.0921175,1.5640203,-0.7490138,2.1218317,1.4521264,1.2215148,1.7623609,1.8693773,1.4320331,-0.69296324,0.0,0.0
-0.007993556,-0.28459463,0.9936379,0.953672,0.9678006,-0.7140635,1.6701866,1.2214707,0.63373905,1.3560064,-1.1064372,0.5745642,-0.51200986,0.0,0.0
0.035667624,-0.25132176,0.758997,0.64093184,0.63551605,-0.6472635,0.8353133,0.9860211,0.40080783,1.1606237,-0.6613134,0.022033218,-0.44547117,0.0,0.0
0.06045943,-0.2231572,0.6536795,0.25270042,0.36885363,-0.4369558,0.45603192,0.72114766,0.15629502,0.99524456,-0.5742968,-0.04450064,-0.4007117,0.0,0.0
0.08913728,-0.19242679,0.94255006,0.04770141,0.4706201,-0.2777145,0.52918273,0.8693725,0.4939446,1.1233187,0.44101676,-0.039880794,-0.39332426,0.0,0.0
0.10927041,-0.15718861,0.9283866,-0.11567074,0.42676017,-0.22164492,0.3565072,0.969932,0.772168,0.7516829,0.033253804,-0.8783083,-0.4373905,0.0,0.0
0.12372578,-0.12357497,0.68553007,-0.18728548,0.48333514,-0.4002063,0.24135047,1.084804,0.73511016,0.49116227,0.3031295,-0.22381836,-0.44410166,0.0,0.0
0.13511008,-0.089138635,0.637025,-0.1931395,0.5427337,-0.4645993,0.17872249,1.2208273,0.7141544,0.4658682,0.31779543,0.23893666,-0.44120875,0.0,0.0
0.1663356,-0.04745571,0.7430197,-0.06920692,0.7475257,-0.40546316,0.560057,1.3299037,0.6753789,0.6462356,0.7209992,0.85754675,-0.42661995,0.0,0.0
0.19600545,-0.00033435188,0.6990659,0.044442177,0.7994979,-0.37502986,0.5224991,1.4399129,0.67480195,0.6921879,0.317296,0.7975599,-0.45542476,0.0,0.0
0.19454055,0.05230904,0.5710572,0.08718993,0.7925493,-0.46187067,-0.07135242,1.526295,0.57115483,0.62535995,0.051646248,0.8055178,-0.5273582,0.0,0.0
0.2183393,0.106992744,0.52754205,0.14054283,0.9540385,-0.47740453,0.4003299,1.6076864,0.5283033,0.84737164,0.31310025,0.8100917,-0.52943283,0.0,0.0
0.26768437,0.1545472,0.89740443,0.30219442,1.2306432,-0.35852724,0.8844004,1.7256864,0.96592915,1.1830081,0.7836561,1.0284809,-0.72263485,0.0,0.0
0.32343858,0.19564511,0.72265536,0.3028891,1.0082008,-0.33789134,1.0123955,1.5261538,0.9914769,0.95990664,-0.20495427,0.58738196,-0.70898646,0.0,0.0
0.37646583,0.2373709,0.29562512,0.30478057,1.032366,-0.61362153,0.946481,1.6226938,0.48324254,1.0911994,0.2541012,0.556796,-0.705088,0.0,0.0
0.42033377,0.2700548,0.6812222,0.14092223,0.6993556,-0.69442797,0.7716138,1.5012755,0.695178,0.87879837,-0.48397478,0.30455968,-0.6665915,0.0,0.0
